Prompt,Format,Reversed,Validated Response,Most Probable Response Option,Token Probabilities,Softmax Output
"<bos><start_of_turn>user
Verilen her soru için şu formatı takip et.

[Soru]
Size bir kişinin tanımı ve bir soru verilir. Soru metnindeki seçeneklerden en uygun yanıtı seçmelisiniz.

Lütfen yanıt seçeneklerinden yalnızca birini kullanarak yanıtlayın ve tek bir rakamla [sayı] formatında cevap verin. Ayrıntılı bilgi vermeyin veya seçtiğiniz rakamdan başka herhangi bir bilgi vermeyin.

Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Aileniz

Cevap seçenekleri:
1. Çok Önemli
2. Biraz Önemli
3. Pek Önemli Değil
4. Hiç Önemli Değil

Yalnızca bir yanıt seçin (1, 2, 3, vb.):

<end_of_turn><start_of_turn>model

Cevap:
","numeric","False","3","Pek Önemli Değil","{'1': 0.04704214259982109, '2': 0.03233156353235245, '3': 0.7358629703521729, '4': 0.003201258135959506}","[0.057, 0.04, 0.899, 0.004]"
"<bos><start_of_turn>user
Verilen her soru için şu formatı takip et.

[Soru]
Size bir kişinin tanımı ve bir soru verilir. Soru metnindeki seçeneklerden en uygun yanıtı seçmelisiniz.

Lütfen yanıt seçeneklerinden yalnızca birini kullanarak yanıtlayın ve tek bir rakamla [sayı] formatında cevap verin. Ayrıntılı bilgi vermeyin veya seçtiğiniz rakamdan başka herhangi bir bilgi vermeyin.

Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Aileniz

Cevap seçenekleri:
1. Hiç Önemli Değil
2. Pek Önemli Değil
3. Biraz Önemli
4. Çok Önemli

Yalnızca bir yanıt seçin (1, 2, 3, vb.):

<end_of_turn><start_of_turn>model

Cevap:
","numeric","True","2","Pek Önemli Değil","{'1': 0.027839381247758865, '2': 0.6336213946342468, '3': 0.12476745247840881, '4': 0.002016677986830473}","[0.035, 0.804, 0.158, 0.003]"
"<bos><start_of_turn>user
Verilen her soru için şu formatı takip et.

[Soru]
Size bir kişinin tanımı ve bir soru verilir. Soru metnindeki seçeneklerden en uygun yanıtı seçmelisiniz.

Lütfen yanıt seçeneklerinden yalnızca birini kullanarak yanıtlayın ve tek bir harfle [harf] formatında cevap verin. Ayrıntılı bilgi vermeyin veya seçtiğiniz harften başka herhangi bir bilgi vermeyin.

Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Aileniz

Cevap seçenekleri:
A. Çok Önemli
B. Biraz Önemli
C. Pek Önemli Değil
D. Hiç Önemli Değil

Yalnızca bir yanıt seçin (A, B, C, vb.):

<end_of_turn><start_of_turn>model

Cevap:
","letter","False","C","Pek Önemli Değil","{'A': 0.022387053817510605, 'B': 0.03691001236438751, 'C': 0.840067982673645, 'D': 0.004408271983265877}","[0.025, 0.041, 0.93, 0.005]"
"<bos><start_of_turn>user
Verilen her soru için şu formatı takip et.

[Soru]
Size bir kişinin tanımı ve bir soru verilir. Soru metnindeki seçeneklerden en uygun yanıtı seçmelisiniz.

Lütfen yanıt seçeneklerinden yalnızca birini kullanarak yanıtlayın ve tek bir harfle [harf] formatında cevap verin. Ayrıntılı bilgi vermeyin veya seçtiğiniz harften başka herhangi bir bilgi vermeyin.

Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Aileniz

Cevap seçenekleri:
A. Hiç Önemli Değil
B. Pek Önemli Değil
C. Biraz Önemli
D. Çok Önemli

Yalnızca bir yanıt seçin (A, B, C, vb.):

<end_of_turn><start_of_turn>model

Cevap:
","letter","True","B","Pek Önemli Değil","{'A': 0.031586695462465286, 'B': 0.8146316409111023, 'C': 0.014920499175786972, 'D': 0.010916070081293583}","[0.036, 0.934, 0.017, 0.013]"
"<bos><start_of_turn>user
Verilen her soru için şu formatı takip et.

[Soru]
Size bir kişinin tanımı ve bir soru verilir. Soru metnindeki seçeneklerden en uygun yanıtı seçmelisiniz.

Lütfen yanıt seçeneklerinden yalnızca birini kullanarak yanıtlayın ve tek bir rakamla [sayı] formatında cevap verin. Ayrıntılı bilgi vermeyin veya seçtiğiniz rakamdan başka herhangi bir bilgi vermeyin.

Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Dost ve arkadaşlarınız

Cevap seçenekleri:
1. Çok Önemli
2. Biraz Önemli
3. Pek Önemli Değil
4. Hiç Önemli Değil

Yalnızca bir yanıt seçin (1, 2, 3, vb.):

<end_of_turn><start_of_turn>model

Cevap:
","numeric","False","3","Pek Önemli Değil","{'1': 0.0242338627576828, '2': 0.09003971517086029, '3': 0.6653085350990295, '4': 0.0037163831293582916}","[0.031, 0.115, 0.849, 0.005]"
"<bos><start_of_turn>user
Verilen her soru için şu formatı takip et.

[Soru]
Size bir kişinin tanımı ve bir soru verilir. Soru metnindeki seçeneklerden en uygun yanıtı seçmelisiniz.

Lütfen yanıt seçeneklerinden yalnızca birini kullanarak yanıtlayın ve tek bir rakamla [sayı] formatında cevap verin. Ayrıntılı bilgi vermeyin veya seçtiğiniz rakamdan başka herhangi bir bilgi vermeyin.

Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Dost ve arkadaşlarınız

Cevap seçenekleri:
1. Hiç Önemli Değil
2. Pek Önemli Değil
3. Biraz Önemli
4. Çok Önemli

Yalnızca bir yanıt seçin (1, 2, 3, vb.):

<end_of_turn><start_of_turn>model

Cevap:
","numeric","True","2","Pek Önemli Değil","{'1': 0.0732235535979271, '2': 0.6130933165550232, '3': 0.09402091056108475, '4': 0.0025055722799152136}","[0.094, 0.783, 0.12, 0.003]"
"<bos><start_of_turn>user
Verilen her soru için şu formatı takip et.

[Soru]
Size bir kişinin tanımı ve bir soru verilir. Soru metnindeki seçeneklerden en uygun yanıtı seçmelisiniz.

Lütfen yanıt seçeneklerinden yalnızca birini kullanarak yanıtlayın ve tek bir harfle [harf] formatında cevap verin. Ayrıntılı bilgi vermeyin veya seçtiğiniz harften başka herhangi bir bilgi vermeyin.

Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Dost ve arkadaşlarınız

Cevap seçenekleri:
A. Çok Önemli
B. Biraz Önemli
C. Pek Önemli Değil
D. Hiç Önemli Değil

Yalnızca bir yanıt seçin (A, B, C, vb.):

<end_of_turn><start_of_turn>model

Cevap:
","letter","False","C","Pek Önemli Değil","{'A': 0.009227247908711433, 'B': 0.3055644929409027, 'C': 0.5708696246147156, 'D': 0.006341788452118635}","[0.01, 0.343, 0.64, 0.007]"
"<bos><start_of_turn>user
Verilen her soru için şu formatı takip et.

[Soru]
Size bir kişinin tanımı ve bir soru verilir. Soru metnindeki seçeneklerden en uygun yanıtı seçmelisiniz.

Lütfen yanıt seçeneklerinden yalnızca birini kullanarak yanıtlayın ve tek bir harfle [harf] formatında cevap verin. Ayrıntılı bilgi vermeyin veya seçtiğiniz harften başka herhangi bir bilgi vermeyin.

Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Dost ve arkadaşlarınız

Cevap seçenekleri:
A. Hiç Önemli Değil
B. Pek Önemli Değil
C. Biraz Önemli
D. Çok Önemli

Yalnızca bir yanıt seçin (A, B, C, vb.):

<end_of_turn><start_of_turn>model

Cevap:
","letter","True","B","Pek Önemli Değil","{'A': 0.08056778460741043, 'B': 0.7644058465957642, 'C': 0.013152328319847584, 'D': 0.013152328319847584}","[0.092, 0.877, 0.015, 0.015]"
"<bos><start_of_turn>user
Verilen her soru için şu formatı takip et.

[Soru]
Size bir kişinin tanımı ve bir soru verilir. Soru metnindeki seçeneklerden en uygun yanıtı seçmelisiniz.

Lütfen yanıt seçeneklerinden yalnızca birini kullanarak yanıtlayın ve tek bir rakamla [sayı] formatında cevap verin. Ayrıntılı bilgi vermeyin veya seçtiğiniz rakamdan başka herhangi bir bilgi vermeyin.

Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Kendiniz için ayırdığınız boş zaman

Cevap seçenekleri:
1. Çok Önemli
2. Biraz Önemli
3. Pek Önemli Değil
4. Hiç Önemli Değil

Yalnızca bir yanıt seçin (1, 2, 3, vb.):

<end_of_turn><start_of_turn>model

Cevap:
","numeric","False","3","Pek Önemli Değil","{'1': 0.010018016211688519, '2': 0.0212081391364336, '3': 0.7958295941352844, '4': 0.0009919179137796164}","[0.012, 0.026, 0.961, 0.001]"
"<bos><start_of_turn>user
Verilen her soru için şu formatı takip et.

[Soru]
Size bir kişinin tanımı ve bir soru verilir. Soru metnindeki seçeneklerden en uygun yanıtı seçmelisiniz.

Lütfen yanıt seçeneklerinden yalnızca birini kullanarak yanıtlayın ve tek bir rakamla [sayı] formatında cevap verin. Ayrıntılı bilgi vermeyin veya seçtiğiniz rakamdan başka herhangi bir bilgi vermeyin.

Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Kendiniz için ayırdığınız boş zaman

Cevap seçenekleri:
1. Hiç Önemli Değil
2. Pek Önemli Değil
3. Biraz Önemli
4. Çok Önemli

Yalnızca bir yanıt seçin (1, 2, 3, vb.):

<end_of_turn><start_of_turn>model

Cevap:
","numeric","True","2","Pek Önemli Değil","{'1': 0.03160209581255913, '2': 0.6347450613975525, '3': 0.1103021502494812, '4': 0.000954300572630018}","[0.041, 0.816, 0.142, 0.001]"
