Survey Question ID,Survey Question English Text,Response Option,Total,Male,Female,Up to 29,30-49,50 and more,Married,Single,Divorced,No children,1 child,2 children,3 children,4 or more children
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Very important,%91.76,%91.71,%91.8,%91.73,%91.34,%92.53,%92.45,%91.44,%83.87,%91.17,%90.1,%91.5,%93.49,%96.15
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Rather important,%7.37,%7.46,%7.28,%7.01,%7.92,%6.82,%7.01,%7.28,%14.52,%7.8,%9.64,%7.82,%5.75,%1.92
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Not very important,%0.62,%0.5,%0.75,%0.98,%0.46,%0.49,%0.27,%1.02,%1.61,%0.82,%0.26,%0.17,%0.77,%1.44
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Not at all important,%0.21,%0.33,%0.08,%0.28,%0.18,%0.16,%0.2,%0.26,%0,%0.21,%0,%0.51,%0,%0
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Very important,%61.66,%61.56,%61.75,%62.55,%60.22,%63.15,%62.53,%60.41,%53.23,%61.5,%54.17,%66.33,%63.6,%60.58
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Rather important,%34.95,%35.54,%34.35,%33.94,%36.46,%33.44,%33.93,%36.78,%40.32,%35.32,%42.45,%31.46,%32.95,%31.73
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Not very important,%2.86,%2.65,%3.06,%2.81,%2.85,%2.92,%2.94,%2.55,%4.84,%2.77,%2.86,%2.04,%2.68,%5.77
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Not at all important,%0.41,%0.17,%0.66,%0.42,%0.37,%0.49,%0.53,%0.13,%0,%0.21,%0.52,%0.17,%0.77,%1.44
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Very important,%54.37,%53.52,%55.22,%56.1,%55.43,%50.49,%53.77,%56.7,%45.16,%56.78,%47.66,%54.25,%57.09,%52.4
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Rather important,%38.05,%39.77,%36.34,%37.45,%37.29,%40.1,%37.68,%37.42,%54.84,%37.27,%43.75,%39.29,%32.95,%34.13
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Not very important,%6.71,%5.8,%7.62,%6.03,%6.45,%7.95,%7.28,%5.75,%0,%5.75,%8.07,%5.44,%8.05,%10.58
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Not at all important,%0.66,%0.75,%0.58,%0.28,%0.74,%0.97,%1.0,%0,%0,%0.1,%0.52,%0.85,%1.53,%1.92
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Don’t know,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",No answer,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Other missing; Multiple answers Mail (EVS),%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0,%0
Q4,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Politics",Very important,%20.91,%25.27,%16.56,%16.55,%21.82,%24.35,%23.11,%17.24,%22.58,%18.48,%16.67,%22.45,%27.97,%26.92
