Survey Question ID,Survey Question English Text,Response Option,Total,Male,Female,Up to 29,30-49,50 and more,Married,Single,Divorced,No children,1 child,2 children,3 children,4 or more children,No education,Primary education,Lower secondary,Upper secondary,Bachelor,Full-time employee,Part-time employee,Self-employed,Retired/pensioned,Housewife,Student,Unemployed,Other,Upper class,Upper middle class,Lower middle class,Working class,Lower class
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Very important,%91.76,%91.71,%91.8,%91.73,%91.34,%92.53,%92.45,%91.44,%83.87,%91.17,%90.1,%91.5,%93.49,%96.15,%91.7,%91.89,%91.8,%91.11,%92.48,%90.07,%87.76,%95.73,%93.79,%92.97,%90.35,%92.55,%100.0,%96.0,%91.63,%86.87,%95.13,%97.7
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Rather important,%7.37,%7.46,%7.28,%7.01,%7.92,%6.82,%7.01,%7.28,%14.52,%7.8,%9.64,%7.82,%5.75,%1.92,%6.86,%7.31,%7.42,%8.03,%6.8,%9.34,%9.18,%2.14,%5.52,%6.54,%7.89,%7.45,%0,%0,%7.05,%12.23,%4.43,%2.3
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Not very important,%0.62,%0.5,%0.75,%0.98,%0.46,%0.49,%0.27,%1.02,%1.61,%0.82,%0.26,%0.17,%0.77,%1.44,%1.44,%0.46,%0.78,%0.34,%0.73,%0.39,%1.02,%2.14,%0.69,%0.33,%1.75,%0,%0,%0,%0.88,%0.77,%0.44,%0
Q1,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Family",Not at all important,%0.21,%0.33,%0.08,%0.28,%0.18,%0.16,%0.2,%0.26,%0,%0.21,%0,%0.51,%0,%0,%0,%0.23,%0,%0.51,%0,%0.2,%2.04,%0,%0,%0.16,%0,%0,%0,%4.0,%0.44,%0.13,%0,%0
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Very important,%61.66,%61.56,%61.75,%62.55,%60.22,%63.15,%62.53,%60.41,%53.23,%61.5,%54.17,%66.33,%63.6,%60.58,%58.84,%59.59,%61.33,%62.39,%66.99,%60.77,%61.22,%61.97,%70.34,%59.48,%68.42,%61.49,%75.0,%68.0,%63.29,%55.86,%64.4,%66.67
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Rather important,%34.95,%35.54,%34.35,%33.94,%36.46,%33.44,%33.93,%36.78,%40.32,%35.32,%42.45,%31.46,%32.95,%31.73,%35.38,%37.44,%35.16,%34.53,%29.85,%36.48,%35.71,%32.48,%26.21,%36.6,%28.07,%37.27,%20.0,%28.0,%32.45,%40.15,%33.53,%31.03
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Not very important,%2.86,%2.65,%3.06,%2.81,%2.85,%2.92,%2.94,%2.55,%4.84,%2.77,%2.86,%2.04,%2.68,%5.77,%5.05,%2.4,%3.12,%2.39,%2.91,%2.26,%3.06,%4.7,%1.38,%3.76,%2.63,%1.24,%5.0,%4.0,%3.08,%3.86,%1.62,%2.3
Q2,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Friends",Not at all important,%0.41,%0.17,%0.66,%0.42,%0.37,%0.49,%0.53,%0.13,%0,%0.21,%0.52,%0.17,%0.77,%1.44,%0.36,%0.34,%0.39,%0.68,%0.24,%0.29,%0,%0.85,%2.07,%0.16,%0.88,%0,%0,%0,%1.17,%0.13,%0.15,%0
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Very important,%54.37,%53.52,%55.22,%56.1,%55.43,%50.49,%53.77,%56.7,%45.16,%56.78,%47.66,%54.25,%57.09,%52.4,%48.74,%51.26,%56.64,%56.41,%60.92,%55.06,%55.1,%55.56,%55.17,%49.51,%63.16,%56.52,%75.0,%60.0,%57.56,%47.88,%57.61,%54.02
Q3,"For each of the following, indicate how important it is in your life. Would you say it is very important, rather important, not very important or not important at all? Leisure time",Rather important,%38.05,%39.77,%36.34,%37.45,%37.29,%40.1,%37.68,%37.42,%54.84,%37.27,%43.75,%39.29,%32.95,%34.13,%39.35,%40.18,%36.72,%37.26,%34.22,%38.25,%35.71,%37.18,%33.79,%41.18,%29.82,%40.37,%20.0,%32.0,%36.12,%43.89,%34.27,%37.93
