Cinsiyet,Yaş Grubu,Medeni Durum,Çocuk Sahipliği,Eğitim Düzeyi,İş Durumu,Sosyal Sınıf,Yerleşim Yeri,Count,Prompt
Erkek,30 yaşından küçük,Evli,Çocuğu yok,İlkokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Alt sınıf,"20,000 - 99,999 kişi arası",1,"Ahmet, 29 yaşında evli bir erkek, çocuğu yok, i̇lkokul mezunu, 51000 nüfusa sahip bir şehirde yaşıyor ve kendisini alt sınıf olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,İlkokul mezunu,Kendi işinin sahibi,Orta sınıfın üst kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 27 yaşında evli bir erkek, çocuğu yok, i̇lkokul mezunu, 220000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,İlkokul mezunu,İşsiz/iş arıyor,Orta sınıfın alt kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 26 yaşında evli bir erkek, çocuğu yok, i̇lkokul mezunu, 210000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,İlkokul mezunu,İşsiz/iş arıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",1,"Ahmet, 25 yaşında evli bir erkek, çocuğu yok, i̇lkokul mezunu, 330000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Ortaokul mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 19 yaşında evli bir erkek, çocuğu yok, ortaokul mezunu, 470000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Lise mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın üst kısmında,"20,000 - 99,999 kişi arası",1,"Ahmet, 22 yaşında evli bir erkek, çocuğu yok, lise mezunu, 92000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Lise mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın üst kısmında,"500,000 veya daha fazla kişi",1,"Ahmet, 23 yaşında evli bir erkek, çocuğu yok, lise mezunu, 2100000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Lise mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","20,000 - 99,999 kişi arası",1,"Ahmet, 19 yaşında evli bir erkek, çocuğu yok, lise mezunu, 47000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Lise mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,"Çalışan, işçi, emekçi sınıfı","100,000 - 499,999 kişi arası",2,"Ahmet, 25 yaşında evli bir erkek, çocuğu yok, lise mezunu, 190000 nüfusa sahip bir şehirde yaşıyor ve kendisini çalışan, işçi, emekçi sınıfı olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Lise mezunu,Kendi işinin sahibi,Orta sınıfın üst kısmında,"100,000 - 499,999 kişi arası",1,"Ahmet, 18 yaşında evli bir erkek, çocuğu yok, lise mezunu, 460000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın üst kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Üniversiteden ayrılmış,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Orta sınıfın alt kısmında,"20,000 - 99,999 kişi arası",1,"Ahmet, 21 yaşında evli bir erkek, çocuğu yok, üniversiteden ayrılmış, 30000 nüfusa sahip bir şehirde yaşıyor ve kendisini orta sınıfın alt kısmında olarak tanımlıyor."
Erkek,30 yaşından küçük,Evli,Çocuğu yok,Üniversite mezunu,Ücretli ve tam zamanlı (yani haftada 30 saatten fazla) çalışıyor,Üst sınıf,"20,000 - 99,999 kişi arası",1,"Ahmet, 28 yaşında evli bir erkek, çocuğu yok, üniversite mezunu, 93000 nüfusa sahip bir şehirde yaşıyor ve kendisini üst sınıf olarak tanımlıyor."
