Cinsiyet,Yaş Grubu,Medeni Durum,Çocuk Sahipliği,Eğitim Düzeyi,İş Durumu,Sosyal Sınıf,Yerleşim Yeri,Bölge,Count,Prompt
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Hiç okula gitmemiş,Işsiz/iş arayan,,Kent merkezinde,"TRC2: Şanlıurfa, Diyarbakır",1,"Ramazan, 19 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Şanlıurfa şehrinde kent merkezinde yaşayan, sosyal sınıfı hakkında bilgi vermemiş, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Hiç okula gitmemiş,Işsiz/iş arayan,Alt sınıf,Kent merkezinde,TR51: Ankara,1,"Ömer, 23 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Hiç okula gitmemiş,Ucretli ve tam zamanlı çalışan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TRC3: Mardin, Batman, Şırnak, Siirt",1,"Salih, 23 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Siirt şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,,,Kent merkezinde,"TRB1: Malatya, Elazığ, Bingöl, Tunceli",1,"Ramazan, 22 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Malatya şehrinde kent merkezinde yaşayan, sosyal sınıfı hakkında bilgi vermemiş, iş durumu hakkında bilgi vermemiş birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Diğer,Alt sınıf,Kent merkezinde,"TR41: Bursa, Eskişehir, Bilecik",1,"Kadir, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Bursa şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, diğer birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Alt sınıf,Kent merkezinde,"TR41: Bursa, Eskişehir, Bilecik",1,"Hüseyin, 26 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Bilecik şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Alt sınıf,Kent merkezinde,"TR42: Kocaeli, Sakarya, Düzce, Bolu, Yalova",1,"Mahmut, 22 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Bolu şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Alt sınıf,Kent merkezinde,"TR52: Konya, Karaman",1,"Mustafa, 18 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Konya şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Alt sınıf,Kent merkezinde,"TR63: Hatay, Kahramanmaraş, Osmaniye",1,"Kadir, 23 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Osmaniye şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Orta sınıfın alt kısmında,Kent merkezinde,TR10: İstanbul,1,"Kadir, 28 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Orta sınıfın alt kısmında,Kent merkezinde,"TR32: Aydın, Denizli, Muğla",1,"İsmail, 26 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Muğla şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Orta sınıfın alt kısmında,Kent merkezinde,"TR41: Bursa, Eskişehir, Bilecik",1,"Yusuf, 29 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Eskişehir şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Orta sınıfın alt kısmında,Kent merkezinde,"TR90: Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",1,"Ahmet, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Giresun şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Orta sınıfın alt kısmında,Kent merkezinde,"TRC1: Gaziantep, Adıyaman, Kilis",1,"Süleyman, 22 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Kilis şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Orta sınıfın alt kısmında,Kırsal alanda,"TR42: Kocaeli, Sakarya, Düzce, Bolu, Yalova",1,"Emre, 22 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Düzce şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Orta sınıfın alt kısmında,Kırsal alanda,"TRA2: Ağrı, Kars, Iğdır, Ardahan",1,"Abdullah, 21 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Ardahan şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,Orta sınıfın üst kısmında,Kent merkezinde,TR10: İstanbul,1,"Murat, 29 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,TR10: İstanbul,1,"İbrahim, 25 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR21: Tekirdağ, Edirne, Kırklareli",1,"Yaşar, 21 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Kırklareli şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TR32: Aydın, Denizli, Muğla",1,"Ömer, 24 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Denizli şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,"Çalışan, işçi, emekçi sınıfı",Kent merkezinde,"TRC2: Şanlıurfa, Diyarbakır",1,"İsmail, 19 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Şanlıurfa şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TR42: Kocaeli, Sakarya, Düzce, Bolu, Yalova",1,"Hüseyin, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Bolu şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Işsiz/iş arayan,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TR83: Samsun, Tokat, Çorum, Amasya",1,"Fatih, 23 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Tokat şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, işsiz/iş arayan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Kendi işinin sahibi,Orta sınıfın alt kısmında,Kent merkezinde,TR10: İstanbul,3,"Salih, 25 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, kendi işinin sahibi birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Kendi işinin sahibi,Orta sınıfın üst kısmında,Kent merkezinde,TR10: İstanbul,2,"İbrahim, 19 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, kendi işinin sahibi birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Oğrenci,Orta sınıfın alt kısmında,Kırsal alanda,"TR33: Manisa, Afyon, Kütahya, Uşak",1,"İsmail, 26 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Afyon şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, oğrenci birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Oğrenci,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TR21: Tekirdağ, Edirne, Kırklareli",1,"Murat, 18 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Edirne şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, oğrenci birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Oğrenci,"Çalışan, işçi, emekçi sınıfı",Kırsal alanda,"TR62: Adana, Mersin",1,"Adem, 22 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Adana şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını çalışan, işçi, emekçi sınıfı olarak tanımlayan, oğrenci birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,,Kent merkezinde,"TRC1: Gaziantep, Adıyaman, Kilis",1,"Mustafa, 25 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Gaziantep şehrinde kent merkezinde yaşayan, sosyal sınıfı hakkında bilgi vermemiş, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,,Kırsal alanda,"TRC3: Mardin, Batman, Şırnak, Siirt",1,"Fatih, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Siirt şehrinde kırsal alanda yaşayan, sosyal sınıfı hakkında bilgi vermemiş, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Alt sınıf,Kent merkezinde,"TR63: Hatay, Kahramanmaraş, Osmaniye",1,"Abdullah, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Kahramanmaraş şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Alt sınıf,Kırsal alanda,"TR63: Hatay, Kahramanmaraş, Osmaniye",1,"Ali, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Kahramanmaraş şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,TR10: İstanbul,1,"Mahmut, 23 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, İstanbul şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR22: Balıkesir, Çanakkale",1,"Hakan, 25 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Balıkesir şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,TR31: İzmir,1,"Ahmet, 19 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, İzmir şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR32: Aydın, Denizli, Muğla",1,"Hasan, 18 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Muğla şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR52: Konya, Karaman",1,"Ali, 23 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Konya şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TR61: Antalya, Isparta, Burdur",1,"Ramazan, 19 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Isparta şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kent merkezinde,"TRC2: Şanlıurfa, Diyarbakır",2,"Yaşar, 25 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Diyarbakır şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kırsal alanda,"TR61: Antalya, Isparta, Burdur",1,"Kadir, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Burdur şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kırsal alanda,"TR62: Adana, Mersin",2,"Kemal, 27 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Adana şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın alt kısmında,Kırsal alanda,"TRA1: Erzurum, Erzincan, Bayburt",1,"Metin, 28 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Erzincan şehrinde kırsal alanda yaşayan, kendi sosyal sınıfını orta sınıfın alt kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,"TR21: Tekirdağ, Edirne, Kırklareli",1,"Adem, 24 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Edirne şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,TR51: Ankara,3,"Hakan, 23 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
Erkek,30 yaşından küçük,Bekâr,Çocuğu yok,Ilkokul mezunu,Ucretli ve tam zamanlı çalışan,Orta sınıfın üst kısmında,Kent merkezinde,"TR61: Antalya, Isparta, Burdur",1,"Musa, 22 yaşında bekâr bir erkek, çocuğu yok, ilkokul mezunu, Antalya şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını orta sınıfın üst kısmında olarak tanımlayan, ucretli ve tam zamanlı çalışan birisidir."
