Gender,Age Group,Marital Status,Children Group,Education Level,Employment Status,Social Class,Count
Female,30-49,Married,2 children,Primary education (ISCED 1),Housewife not otherwise employed,Working class,19
Male,30-49,Married,2 children,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Working class,19
Female,30-49,Married,2 children,Primary education (ISCED 1),Housewife not otherwise employed,Lower middle class,17
Male,30-49,Married,2 children,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Lower middle class,16
Female,50 and more,Married,2 children,Early childhood education (ISCED 0) / no education,Housewife not otherwise employed,Working class,12
Female,30-49,Married,2 children,Upper secondary education (ISCED 3),Housewife not otherwise employed,Working class,12
Male,30-49,Married,1 child,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Working class,11
Female,30-49,Married,1 child,Primary education (ISCED 1),Housewife not otherwise employed,Lower middle class,11
Female,30-49,Married,2 children,Primary education (ISCED 1),Housewife not otherwise employed,Upper middle class,11
Male,30-49,Married,2 children,Primary education (ISCED 1),Self-employed,Upper middle class,11
Male,30-49,Married,2 children,Bachelor or equivalent (ISCED 6),Full-time employee (30 hours a week or more),Upper middle class,11
Female,50 and more,Married,4 or more children,Early childhood education (ISCED 0) / no education,Housewife not otherwise employed,Working class,11
Female,30-49,Married,3 children,Primary education (ISCED 1),Housewife not otherwise employed,Lower middle class,10
Male,30-49,Married,1 child,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Lower middle class,10
Female,30-49,Married,4 or more children,Primary education (ISCED 1),Housewife not otherwise employed,Lower middle class,10
Male,30-49,Married,2 children,Upper secondary education (ISCED 3),Full-time employee (30 hours a week or more),Working class,10
Female,30-49,Married,1 child,Bachelor or equivalent (ISCED 6),Full-time employee (30 hours a week or more),Upper middle class,10
Female,50 and more,Married,2 children,Early childhood education (ISCED 0) / no education,Housewife not otherwise employed,Lower middle class,10
Female,30-49,Married,2 children,Upper secondary education (ISCED 3),Housewife not otherwise employed,Upper middle class,9
Female,30-49,Married,1 child,Upper secondary education (ISCED 3),Housewife not otherwise employed,Lower middle class,9
Female,30-49,Married,1 child,Primary education (ISCED 1),Housewife not otherwise employed,Working class,9
Female,50 and more,Married,2 children,Primary education (ISCED 1),Housewife not otherwise employed,Working class,9
Male,30-49,Married,1 child,Bachelor or equivalent (ISCED 6),Full-time employee (30 hours a week or more),Lower middle class,8
Female,30-49,Married,2 children,Bachelor or equivalent (ISCED 6),Full-time employee (30 hours a week or more),Upper middle class,8
Male,30-49,Married,2 children,Lower secondary education (ISCED 2),Full-time employee (30 hours a week or more),Working class,8
Male,30-49,Married,2 children,Lower secondary education (ISCED 2),Full-time employee (30 hours a week or more),Lower middle class,8
Male,30-49,Married,2 children,Upper secondary education (ISCED 3),Self-employed,Upper middle class,8
Male,30-49,Married,1 child,Bachelor or equivalent (ISCED 6),Full-time employee (30 hours a week or more),Upper middle class,8
Female,50 and more,Married,2 children,Primary education (ISCED 1),Housewife not otherwise employed,Upper middle class,8
Female,50 and more,Married,2 children,Primary education (ISCED 1),Housewife not otherwise employed,Lower middle class,8
Male,50 and more,Married,2 children,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Working class,7
Male,30-49,Married,3 children,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Working class,7
Female,30-49,Married,2 children,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Working class,7
Male,50 and more,Married,2 children,Primary education (ISCED 1),Retired/pensioned,Lower middle class,7
Female,30-49,Married,1 child,Primary education (ISCED 1),Housewife not otherwise employed,Upper middle class,7
Female,30-49,Married,3 children,Primary education (ISCED 1),Housewife not otherwise employed,Working class,7
Female,30-49,Married,1 child,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Lower middle class,7
Male,30-49,Married,3 children,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Lower middle class,7
Male,30-49,Married,3 children,Bachelor or equivalent (ISCED 6),Full-time employee (30 hours a week or more),Upper middle class,7
Female,30-49,Married,4 or more children,Primary education (ISCED 1),Housewife not otherwise employed,Working class,6
Male,30-49,Married,2 children,Upper secondary education (ISCED 3),Full-time employee (30 hours a week or more),Upper middle class,6
Female,30-49,Married,2 children,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Upper middle class,6
Male,50 and more,Married,4 or more children,Primary education (ISCED 1),Retired/pensioned,Lower middle class,6
Male,30-49,Married,2 children,Bachelor or equivalent (ISCED 6),Self-employed,Upper middle class,6
Female,50 and more,Married,1 child,Primary education (ISCED 1),Housewife not otherwise employed,Upper middle class,6
Male,30-49,Married,1 child,Upper secondary education (ISCED 3),Full-time employee (30 hours a week or more),Lower middle class,6
Female,50 and more,Married,4 or more children,Early childhood education (ISCED 0) / no education,Housewife not otherwise employed,Lower class,6
Male,50 and more,Married,1 child,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Upper middle class,6
Female,50 and more,Married,3 children,Primary education (ISCED 1),Housewife not otherwise employed,Lower middle class,6
Female,50 and more,Married,2 children,Primary education (ISCED 1),Housewife not otherwise employed,Lower class,6
Male,50 and more,Married,2 children,Primary education (ISCED 1),Full-time employee (30 hours a week or more),Lower middle class,6
Female,30-49,Married,2 children,Upper secondary education (ISCED 3),Full-time employee (30 hours a week or more),Upper middle class,5
Female,30-49,Married,2 children,Lower secondary education (ISCED 2),Housewife not otherwise employed,Lower middle class,5
Female,Up to 29,Married,1 child,Primary education (ISCED 1),Housewife not otherwise employed,Upper middle class,5
Male,50 and more,Married,1 child,Primary education (ISCED 1),Retired/pensioned,Working class,5
Female,50 and more,Married,4 or more children,Early childhood education (ISCED 0) / no education,Housewife not otherwise employed,Lower middle class,5
